Rank, name, year, rating, votes, genres, runtime, titleType, link, certificate, plot, image, director, writer, actors, awards, boxOffice, country, language, rottenTomatoes, metacritic
"10", "Blue Planet II", "2017", "9.3", "58538", "Documentary,Family", "50", "tvMiniSeries", "https://www.imdb.com/title/tt6769208/", "TV-G", "David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.", "https://m.media-amazon.com/images/M/MV5BNmUwYThjM2UtNTg1Yy00MzRlLThhMmYtNjlmOWU0ZmQxZDA3XkEyXkFqcGc@._V1_SX300.jpg", "", "", "Peter Drost, David Attenborough, Roger Munns", "Won 1 Primetime Emmy. 11 wins & 13 nominations total", "", "United Kingdom, United States, China, France, Germany", "English", "", ""
"11", "Cosmos", "1980", "9.3", "53667", "Documentary", "60", "tvMiniSeries", "https://www.imdb.com/title/tt0081846/", "TV-PG", "Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.", "https://m.media-amazon.com/images/M/MV5BOTA5MWFhMzAtOWU1OS00Yjk4LTlkNGItNGI3N2VkNzcyNGU2XkEyXkFqcGc@._V1_SX300.jpg", "", "Ann Druyan, Carl Sagan, Steven Soter", "Carl Sagan, Jaromír Hanzlík, Jonathan Fahn", "Won 3 Primetime Emmys. 4 wins & 3 nominations total", "", "United States, United Kingdom", "English", "", ""
"12", "Bluey", "2018", "9.3", "49164", "Animation,Comedy,Family", "7", "tvSeries", "https://www.imdb.com/title/tt7678620/", "TV-Y", "The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.", "https://m.media-amazon.com/images/M/MV5BYWU1YmQzMjEtMDNjOS00MGIyLWExY2ItZDAzNmU5NWViMGZmXkEyXkFqcGc@._V1_SX300.jpg", "", "Joe Brumm", "David McCormack, Melanie Zanetti, Brad Elliott", "25 wins & 15 nominations total", "", "Australia, United Kingdom, United States", "English", "", ""
"13", "The Joy of Painting", "1983", "9.3", "7183", "Documentary,Family", "25", "tvSeries", "https://www.imdb.com/title/tt0383795/", "TV-G", "In this half-hour program, artist Bob Ross paints a beautiful oil painting on canvas.", "https://m.media-amazon.com/images/M/MV5BZWQzMmM2YzItMDJjMC00MTQ2LTk2NTEtNzVhYWUzMmUyY2JkXkEyXkFqcGc@._V1_SX300.jpg", "", "", "Bob Ross, Steve Ross, Dana Jester", "", "", "United States", "English", "", ""
"14", "Seven Worlds One Planet", "2019", "9.3", "6701", "Documentary,Family", "59", "tvMiniSeries", "https://www.imdb.com/title/tt9805708/", "TV-PG", "Seven continents formed by Earth's splitting crust each have unique climates, terrain and wildlife. Journey across South America's paradise to Africa's heat, discovering unexpected stories and spectacular nature.", "https://m.media-amazon.com/images/M/MV5BYWQ0NTcxMjQtYzlmZS00ZDZkLTk2ZTMtY2QxODM3ZDNlODBiXkEyXkFqcGc@._V1_SX300.jpg", "", "", "David Attenborough, Peter Drost, Goetz Bielefeldt", "Won 1 Primetime Emmy. 3 wins & 7 nominations total", "", "United Kingdom, China, United States, Germany, France", "English", "", ""
"15", "Half in the Bag", "2011", "9.3", "5792", "Comedy,Talk-Show", "40", "tvSeries", "https://www.imdb.com/title/tt2348531/", "Unrated", "Two VCR repairmen, Mike and Jay, scam an elderly man out of his fortune by discussing movies while on the job, and occasionally go on eccentric misadventures.", "https://m.media-amazon.com/images/M/MV5BNzhjZWZiYzgtNTY2OS00MzZiLWJhY2YtMThjNGE0MDgzZjYwXkEyXkFqcGc@._V1_SX300.jpg", "", "Jay Bauman, Mike Stoklasa", "Jay Bauman, Mike Stoklasa, Rich Evans", "", "", "United States", "English", "", ""
"16", "Game of Thrones", "2011", "9.2", "2658345", "Drama,Fantasy", "60", "tvSeries", "https://www.imdb.com/title/tt0944947/", "TV-MA", "Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.", "https://m.media-amazon.com/images/M/MV5BMTNhMDJmNmYtNDQ5OS00ODdlLWE0ZDAtZTgyYTIwNDY3OTU3XkEyXkFqcGc@._V1_QL75_UX380_CR0,3,380,562_.jpg", "", "David Benioff, D.B. Weiss", "Emilia Clarke, Peter Dinklage, Kit Harington", "Won 59 Primetime Emmys. 396 wins & 655 nominations total", "", "United States, United Kingdom", "English", "", ""
"17", "The Sopranos", "1999", "9.2", "594732", "Crime,Drama", "55", "tvSeries", "https://www.imdb.com/title/tt0141842/", "TV-MA", "New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.", "https://m.media-amazon.com/images/M/MV5BZjYwNWQwOTMtMzYwOS00NTcxLWFhNTYtNGQ4YjdmYTcyNDFkXkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg", "", "David Chase", "James Gandolfini, Lorraine Bracco, Edie Falco", "Won 21 Primetime Emmys. 127 wins & 312 nominations total", "", "United States", "English, Italian, Russian", "", ""
"18", "Scam 1992: The Harshad Mehta Story", "2020", "9.2", "174913", "Biography,Crime,Drama", "60", "tvMiniSeries", "https://www.imdb.com/title/tt12392504/", "TV-14", "The rise and fall of Harshad Mehta, a stockbroker who single-handedly took the stock market to great heights, is depicted.", "https://m.media-amazon.com/images/M/MV5BNGRkOTVjODgtNTBmZS00MDQ3LWE3ZjQtM2ZiNDQ3OWJkMjM2XkEyXkFqcGc@._V1_SX300.jpg", "", "", "Pratik Gandhi, Shreya Dhanwanthary, Hemant Kher", "51 wins & 16 nominations total", "", "India", "Hindi", "", ""
"19", "Cosmos: A Spacetime Odyssey", "2014", "9.2", "140980", "Documentary,Family", "45", "tvMiniSeries", "https://www.imdb.com/title/tt2395695/", "TV-PG", "An exploration of our discovery of the laws of nature and coordinates in space and time.", "https://m.media-amazon.com/images/M/MV5BYTRlMzk0NzctNTI3Ni00N2E2LWJiNGMtMDdlNjk1YWNmMzkyXkEyXkFqcGc@._V1_SX300.jpg", "", "", "Neil deGrasse Tyson, Carl Sagan, André Sogliuzzo", "Won 4 Primetime Emmys. 17 wins & 23 nominations total", "", "United States", "English", "", ""
"20", "Sapne Vs Everyone", "2023", "9.2", "87685", "Drama", "60", "tvSeries", "https://www.imdb.com/title/tt30263074/", "", "Two obsessive dreamers collide with the resistance of expectations, morality and each other.", "https://m.media-amazon.com/images/M/MV5BODI2OTA5MjYtNDg3OS00ODAzLThlNDQtMzRmNDNlMTlhZDk3XkEyXkFqcGc@._V1_SX300.jpg", "", "", "Paramvir Cheema, Ambrish Verma, Naveen Kasturia", "", "", "India", "Hindi", "", ""
"21", "Our Planet", "2019", "9.2", "63706", "Documentary,Family", "50", "tvSeries", "https://www.imdb.com/title/tt9253866/", "TV-PG", "Explores and unravels the mystery of how and why animals migrate, showing some of the most dramatic and compelling stories in the natural world through spectacular and innovative cinematography.", "https://m.media-amazon.com/images/M/MV5BZDE1NzlkNWMtNzFiMC00ZTgxLTgyMmItOTU5OGI2NWQ4MDMxXkEyXkFqcGc@._V1_SX300.jpg", "", "", "David Attenborough", "Won 2 Primetime Emmys. 7 wins & 25 nominations total", "", "United States, United Kingdom", "English", "", ""
"22", "The World at War", "1973", "9.2", "38191", "Documentary,History,War", "52", "tvSeries", "https://www.imdb.com/title/tt0071075/", "TV-PG", "A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.", "https://m.media-amazon.com/images/M/MV5BM2I1OGUyNmYtZmNiOC00OGQ4LWFlNDEtYTM5ZTAxMDI4ZmMyXkEyXkFqcGc@._V1_SX300.jpg", "", "", "Laurence Olivier, Averell Harriman, Anthony Eden", "Won 1 BAFTA Award2 wins & 3 nominations total", "", "United Kingdom", "English, German, French, Japanese", "", ""
"23", "BB Ki Vines", "2015", "9.2", "12010", "Comedy", "0", "tvSeries", "https://www.imdb.com/title/tt9002164/", "", "BB Ki Vines is a Video series. Bhuvan Bam is the person who has started BB Ki Vines and all the characters are played by him.", "https://m.media-amazon.com/images/M/MV5BOWZlZjRhMjQtOTFkOS00NjFlLTk3ZmQtYmYxZTk1NmRhZGE1XkEyXkFqcGdeQXVyODAzNzAwOTU@._V1_SX300.jpg", "", "", "Bhuvan Bam, Amanda Cerny", "2 wins", "", "India", "Hindi", "", ""
"24", "Pretenders", "2002", "9.2", "6982", "Adventure,Comedy,Mystery", "60", "tvSeries", "https://www.imdb.com/title/tt0316613/", "TV-PG", "A team of 4 talented men solve their clients' problems by staging "drills" to deceive people.", "https://m.media-amazon.com/images/M/MV5BYWFlMmQ2N2QtYjdiYy00M2U1LTk2ZGQtYjgyZDE4YWQwNWMzXkEyXkFqcGc@._V1_SX300.jpg", "", "Damián Szifron, Diego Peretti, Federico D'Elía", "Federico D'Elía, Alejandro Fiore, Diego Peretti", "6 wins & 4 nominations total", "", "Argentina", "Spanish", "", ""
"25", "A Dog's Will", "1999", "9.2", "6796", "Comedy,Drama,Fantasy", "38", "tvMiniSeries", "https://www.imdb.com/title/tt0197139/", "", "The adventures of friends João Grilo, a poor man a liar, and Chicó, the most cowardly of men. Both struggle for daily bread in the Northeast of Brazil and crossing for several episodes fooling all of the small village of Taperoá, ...", "https://m.media-amazon.com/images/M/MV5BNTkxNGRkN2QtZTA0ZC00ZTE5LTk2ODUtYmZmNDRiMjIwNzQ0XkEyXkFqcGc@._V1_SX300.jpg", "", "", "Matheus Nachtergaele, Selton Mello, Virginia Cavendish", "4 wins", "", "Brazil", "Portuguese", "", ""
"26", "Matador", "1978", "9.2", "6417", "Drama", "67", "tvSeries", "https://www.imdb.com/title/tt0077051/", "", "A man comes to Korsbæk, Denmark, in 1929, opens a women's clothing store in competition with an established one - bringing him up against the conservative establishment including the bank manager. We follow the families until afte...", "https://m.media-amazon.com/images/M/MV5BODQzZDk4ZmMtMGFiMS00ODk2LWI1NjctYmQzMTg2OWY5MWVkXkEyXkFqcGc@._V1_SX300.jpg", "", "Erik Balling, Paul Hammerich, Lise Nørgaard", "Jørgen Buckhøj, Buster Larsen, Ghita Nørby", "1 win", "", "Denmark", "Danish", "", ""
"27", "9/11: One Day in America", "2021", "9.2", "5863", "Documentary,History", "50", "tvMiniSeries", "https://www.imdb.com/title/tt14734548/", "TV-MA", "In official collaboration with the 9/11 Memorial & Museum, this documentary series take viewers through harrowing moments of the historic morning of September 11, 2001.", "https://m.media-amazon.com/images/M/MV5BMzU0MjFkYjQtMDkwNi00MzM4LWJhNWQtYmY1ZDk4MjQ4MDU4XkEyXkFqcGc@._V1_QL75_UY562_CR21,0,380,562_.jpg", "", "", "Jay Jonas, Mickey Kross, Joseph Pfeifer", "Nominated for 1 BAFTA Award. 1 win & 4 nominations total", "", "United States, United Kingdom", "English", "", ""
"28", "Devon Ke Dev... Mahadev", "2011", "9.2", "5696", "Action,Drama,Fantasy", "22", "tvSeries", "https://www.imdb.com/title/tt2147999/", "", "He is supreme being and the destroyer of evil. Witness the story of Lord Shiva, his Avatars and his union with Shakti that shaped the universe.", "https://m.media-amazon.com/images/M/MV5BZTQ1NTU5ZDMtM2M5Ny00NTg4LThmMzUtMzM0MmIzYWQ4ZTAxXkEyXkFqcGdeQXVyNTM3OTYwNjQ@._V1_SX300.jpg", "", "", "Mohit Raina, Mouni Roy, Saurabh Raj Jain", "13 wins & 11 nominations", "", "India", "Hindi", "", ""
"29", "Baseball", "1994", "9.2", "5301", "Documentary,History,Sport", "104", "tvMiniSeries", "https://www.imdb.com/title/tt0108700/", "TV-PG", "A documentary on the history of the sport with major topics including Afro-American players, player/team owner relations and the resilience of the game.", "https://m.media-amazon.com/images/M/MV5BNjhiZDM5YTctNzE1Yy00YThiLWE0ZmQtOTFkYmNjYjkxYjQ4XkEyXkFqcGc@._V1_SX300.jpg", "", "", "Daniel Okrent, George F. Will, John Chancellor", "Won 1 Primetime Emmy. 3 wins & 5 nominations total", "", "United States", "English", "", ""
"30", "Attack on Titan", "2013", "9.1", "744682", "Action,Adventure,Animation", "24", "tvSeries", "https://www.imdb.com/title/tt2560140/", "TV-MA", "In a world where humanity shelters behind towering walls from man-eating Titans, a determined teen joins the elite Survey Corps to fight the giants and uncover the secrets of their origin.", "https://m.media-amazon.com/images/M/MV5BZjliODY5MzQtMmViZC00MTZmLWFhMWMtMjMwM2I3OGY1MTRiXkEyXkFqcGc@._V1_QL75_UY562_CR9,0,380,562_.jpg", "", "Yasuko Kobayashi, Hiroshi Seko", "Jessie James Grelle, Bryce Papenbrook, Trina Nishimura", "42 wins & 88 nominations total", "", "Japan", "Japanese, English", "", ""
"31", "Aspirants", "2021", "9.1", "319824", "Drama", "45", "tvSeries", "https://www.imdb.com/title/tt14392248/", "", "It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.", "https://m.media-amazon.com/images/M/MV5BMjE0NjJiYjYtNDUzZC00MGE2LTgzNDktZTVmOWI1Y2E2MDFkXkEyXkFqcGc@._V1_SX300.jpg", "", "Deepesh Sumitra Jagdish, Arunabh Kumar, Shreyansh Pandey", "Naveen Kasturia, Shivankit Singh Parihar, Abhilash Thapliyal", "8 wins & 16 nominations", "", "India", "Hindi", "", ""
"32", "Fullmetal Alchemist: Brotherhood", "2009", "9.1", "257250", "Action,Adventure,Animation", "24", "tvSeries", "https://www.imdb.com/title/tt1355642/", "TV-14", "Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.", "https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_SX300.jpg", "", "Hiromu Arakawa", "Kent Williams, Iemasa Kayumi, Vic Mignogna", "3 wins & 4 nominations total", "", "Japan", "Japanese, English, French, German, Portuguese, Spanish", "", ""
"33", "The Chosen", "2017", "9.1", "71398", "Biography,Drama,History", "60", "tvSeries", "https://www.imdb.com/title/tt5622316/", "TV-PG", "The Chosen is a historical drama based on the life of Jesus and those who knew him. Set against the backdrop of Roman oppression in first-century Israel, the series shares an authentic look at Jesus' revolutionary life and teachings.", "https://m.media-amazon.com/images/M/MV5BMDRiNmVjYmQtZDQ3Yy00MjA5LWFhYWYtYWMxYTE1NzEyZDNiXkEyXkFqcGc@._V1_QL75_UX380_CR0,57,380,562_.jpg", "", "Dallas Jenkins", "Elizabeth Tabish, George H. Xanthis, Shahar Isaac", "7 wins & 6 nominations total", "", "Canada, United States", "English", "", ""
"34", "Life", "2009", "9.1", "50636", "Documentary", "50", "tvMiniSeries", "https://www.imdb.com/title/tt1533395/", "TV-G", "A global view of the specialized strategies and extreme behavior that living things have developed in order to survive; what Charles Darwin termed "the struggle for existence."", "https://m.media-amazon.com/images/M/MV5BZDJjMzJiMTktMWZkZi00YWY0LWJjNGUtY2ZmNTFlOThhZTA4XkEyXkFqcGc@._V1_SX300.jpg", "", "", "Oprah Winfrey, David Attenborough, Doug Allan", "Won 1 Primetime Emmy. 4 wins & 11 nominations total", "", "United Kingdom, United States, Greece, Italy, Germany", "English", "", ""
"35", "The Vietnam War", "2017", "9.1", "37293", "Documentary,History,War", "100", "tvMiniSeries", "https://www.imdb.com/title/tt1877514/", "TV-MA", "A documentary series chronicling the Vietnam War through archival footage and firsthand accounts from soldiers, civilians, and leaders on all sides, tracing its origins, major events, and enduring impact on the United States and V...", "https://m.media-amazon.com/images/M/MV5BYTQ1ZWYzMmQtNWU5OC00YWY0LTkyMWMtMTU0NjYxMjJkMmNjXkEyXkFqcGc@._V1_SX300.jpg", "", "", "Peter Coyote, Le Duan, Joachim Król", "Nominated for 4 Primetime Emmys. 5 wins & 10 nominations total", "", "United States, France", "English, Vietnamese", "", ""
"36", "Gullak", "2019", "9.1", "31809", "Comedy,Drama,Family", "24", "tvSeries", "https://www.imdb.com/title/tt10530900/", "", "Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.", "https://m.media-amazon.com/images/M/MV5BMzllMWE4YTgtODM3OS00MGEyLWEwMjktNWQzZjFjNWNhMGNmXkEyXkFqcGc@._V1_SX300.jpg", "", "Shreyansh Pandey", "Jameel Khan, Geetanjali Kulkarni, Vaibhav Raj Gupta", "27 wins & 40 nominations total", "", "India", "Hindi", "", ""
"37", "The Filthy Frank Show", "2011", "9.1", "27184", "Comedy,Short", "0", "tvSeries", "https://www.imdb.com/title/tt4202274/", "TV-MA", "Filthy Frank and his disease ridden friends talk about various topics and take part in multiple life-threatening shenanigans.", "https://m.media-amazon.com/images/M/MV5BMDE2MjM3ZGMtYTE4Yy00YzRhLWIxYzEtYmQ1MGY1MmEzMjkyXkEyXkFqcGc@._V1_SX300.jpg", "", "", "George Miller, Artemis Holdenberry, Zeeq", "1 win", "", "United States, Japan, Australia", "English, Japanese", "", ""
"38", "Koombiyo", "2017", "9.1", "18719", "Crime,Drama,Thriller", "20", "tvSeries", "https://www.imdb.com/title/tt7450814/", "TV-14", "35 year old bachelor Jehan and his partner in crime Priyantha try to exploit the loopholes in the law in order to make a living.", "https://m.media-amazon.com/images/M/MV5BZTg4NThiZDktMGEwOS00NmRiLTgxNWMtYjNiNDk5OWU1MzkyXkEyXkFqcGdeQXVyMzk2MDE1MDg@._V1_SX300.jpg", "", "", "Thumindu Dodantenne, Kalana Gunasekara, Andrew Pulle", "", "", "Sri Lanka", "Sinhala", "", ""
"39", "The Legend of Hanuman", "2021", "9.1", "14013", "Action,Adventure,Animation", "25", "tvSeries", "https://www.imdb.com/title/tt13854248/", "", "When the power-hungry Ravan tore through the world to unleash evil, in his way stood a humble vaanar awoken to his divinity to become an immortal legend.", "https://m.media-amazon.com/images/M/MV5BZThmZDIwYzEtMmQ1MS00MjhjLWJhYTktNzFkMzZhMzM0ZjNlXkEyXkFqcGc@._V1_SX300.jpg", "", "Sharad Devarajan, Jeevan J. Kang, Charuvi Agrawal", "Daman Baggan, Sharad Kelkar, Sanket Mhatre", "12 wins & 1 nomination total", "", "India", "Hindi", "", ""
"40", "The Beatles Anthology", "1995", "9.1", "11188", "Documentary,Music", "67", "tvMiniSeries", "https://www.imdb.com/title/tt0111893/", "TV-14", "The Beatles candidly tell their own story, with all its complexities and contradictions.", "https://m.media-amazon.com/images/M/MV5BYTYzNDA1NmMtNjg2ZC00OWVlLWFmMDItNTljMjFiMWQxZjgzXkEyXkFqcGc@._V1_SX300.jpg", "", "", "John Lennon, Paul McCartney, George Harrison", "Nominated for 3 Primetime Emmys. 2 wins & 4 nominations total", "", "United Kingdom", "English, French", "", ""
"41", "The Storks Will Return", "2007", "9.1", "10016", "Comedy,Crime,Drama", "55", "tvSeries", "https://www.imdb.com/title/tt1043822/", "TV-MA", "A story of two friends and petty thieves trying to make a living, but failing in every possible way.", "https://m.media-amazon.com/images/M/MV5BYmQyNzA1NDAtOGEzYS00Mzc2LWJjZDYtZmUzMjk5NDQ5ZjdjXkEyXkFqcGc@._V1_SX300.jpg", "", "", "Nikola Djuricko, Dragan Bjelogrlic, Srdjan 'Zika' Todorovic", "", "", "Serbia", "Serbian", "", ""
"42", "Dynasties", "2018", "9.1", "5616", "Documentary,Family", "60", "tvMiniSeries", "https://www.imdb.com/title/tt9130692/", "TV-PG", "A nature documentary series on five vulnerable or endangered species known to form enduring populations: chimpanzee, emperor penguin, lion, tiger and African wild dog.", "https://m.media-amazon.com/images/M/MV5BYTMxMWI0NjUtMDQ3MC00Yjg1LTk0ODEtYjg0MjY0OTY2ZDAxXkEyXkFqcGc@._V1_SX300.jpg", "", "", "David Attenborough, John Brown, Justine Evans", "2 wins & 3 nominations total", "", "United Kingdom, United States, France, China", "English", "", ""
"43", "Planet Earth III", "2023", "9.1", "5201", "Documentary", "58", "tvMiniSeries", "https://www.imdb.com/title/tt9805674/", "TV-PG", "Discover amazing landscapes, the most amazing fights of animals on our planet, from the highest mountains to the deepest oceans, from the darkest caves to the hottest deserts with new technology.", "https://m.media-amazon.com/images/M/MV5BMDUzNzk0ZDAtMTI0NS00NDg3LThiMmEtYTI3OWU2MjFjOWM2XkEyXkFqcGc@._V1_SX300.jpg", "", "", "David Attenborough, Tom Greenhalgh, Andrew Gray", "Nominated for 5 Primetime Emmys. 2 wins & 10 nominations total", "", "United Kingdom, United States", "English", "", ""
"44", "Sherlock", "2010", "9.0", "1099089", "Crime,Drama,Mystery", "90", "tvSeries", "https://www.imdb.com/title/tt1475582/", "TV-14", "In modern-day London, brilliant but eccentric detective Sherlock Holmes teams with war veteran Dr. John Watson to crack baffling crimes, outwit formidable foes, and aid Scotland Yard with razor-sharp deduction.", "https://m.media-amazon.com/images/M/MV5BNTQzNGZjNDEtOTMwYi00MzFjLWE2ZTYtYzYxYzMwMjZkZDc5XkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg", "", "Mark Gatiss, Steven Moffat", "Benedict Cumberbatch, Martin Freeman, Una Stubbs", "Won 9 Primetime Emmys. 95 wins & 185 nominations total", "", "United Kingdom, United States", "English", "", ""
"45", "Better Call Saul", "2015", "9.0", "861317", "Crime,Drama", "45", "tvSeries", "https://www.imdb.com/title/tt3032476/", "TV-MA", "Albuquerque lawyer Jimmy McGill scrapes for clients and respect, but every win drags him closer to shady deals, dangerous players, and the alter ego Saul Goodman.", "https://m.media-amazon.com/images/M/MV5BNDdjNTEzMjMtYjM3Mi00NzQ3LWFlNWMtZjdmYWU3ZDkzMjk1XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Vince Gilligan, Peter Gould", "Bob Odenkirk, Rhea Seehorn, Jonathan Banks", "Nominated for 53 Primetime Emmys. 66 wins & 317 nominations total", "", "United States", "English, Spanish, Vietnamese", "", ""
